codigo_postal,localidad,latitud,longitud
46001,"Valencia",39.4733232,-0.3781705
46002,"Valencia",39.4705406,-0.3758283
46003,"Valencia",39.4776975,-0.377293
46004,"Valencia",39.4671353,-0.3713552
46005,"Valencia",39.4643459,-0.3671865
46006,"Valencia",39.4607838,-0.3738377
46007,"Valencia",39.4605959,-0.3860903
46008,"Valencia",39.4716752,-0.3893962
46009,"Valencia",39.4845309,-0.3810286
46010,"Valencia",39.4816994,-0.3659771
46011,"Valencia",39.4703863,-0.3302549
46012,"Valencia",39.3421263,-0.3136832
46013,"Valencia",39.446081,-0.3595529
46014,"Valencia",39.4634438,-0.4032279
46015,"Valencia",39.4891468,-0.3964818
46016,"Valencia",39.5211124,-0.3841956
46017,"Valencia",39.4487671,-0.3904536
46018,"Valencia",39.4666748,-0.3965926
46019,"Valencia",39.4952417,-0.3712272
46020,"Valencia",39.4862598,-0.3596794
46021,"Valencia",39.4710338,-0.3533306
46022,"Valencia",39.4733147,-0.3402433
46023,"Valencia",39.4635445,-0.3526273
46024,"Valencia",39.4532158,-0.3360291
46025,"Valencia",39.4941885,-0.3895346
46026,"Valencia",39.4475997,-0.3779491
46035,"Valencia",39.4996672,-0.4187037
46070,"Valencia",39.4698,-0.3774
46071,"Valencia",39.4698,-0.3774
46080,"Valencia",39.4698,-0.3774
46100,"Burjassot",39.5133727,-0.4123461
46110,"Godella",39.5242694,-0.4179923
46111,"Rocafort",39.533582,-0.4135137
46112,"Masarrochos",39.5436254,-0.4111131
46113,"Moncada",39.545386,-0.3897997
46114,"Vinalesa",39.5384396,-0.3707967
46115,"Alfara Del Patriarca",39.5466412,-0.3864282
46116,"Masias",39.5616465,-0.3981035
46117,"Benagolf (San Antonio) (Urbanizacion)",39.5881077,-0.4636621
46118,"Serra",39.6906124,-0.4243179
46119,"Naquera",39.6389317,-0.4192159
46120,"Alboraya",39.4968641,-0.3447368
46127,"Campamento Militar De Betera",39.5,-0.35
46130,"Massamagrell",39.5742372,-0.3367475
46131,"Casas De Barcena",39.5220027,-0.3588764
46132,"Almassera",39.5134167,-0.3579826
46133,"Meliana",39.5302778,-0.3491595
46134,"Foios",39.5367527,-0.3528005
46135,"Emperador",39.5500376,-0.3380129
46136,"Museros",39.5597847,-0.3420569
46137,"Puebla De Farnals (Playa)",39.5662343,-0.28896
46138,"Rafelbuñol/Rafelbunyol",39.58782,-0.3344679
46139,"La Pobla De Farnals",39.5779678,-0.3274726
46140,"Ademuz",40.0600734,-1.2750789
46141,"Cuesta Del Rato",40.1302228,-1.3043956
46142,"Los Santos",40.1057138,-1.2788204
46143,"Torrebaja",40.0968895,-1.2587341
46144,"Torrealta",40.1287002,-1.2519502
46145,"Vallanca",40.0631633,-1.3388424
46146,"Casas Bajas",40.0238479,-1.260739
46147,"Casas Altas",40.0396222,-1.2617344
46148,"Algimia De Alfara",39.7523877,-0.3620566
46149,"Santo Espiritu Del Monte",39.6788459,-0.3223541
46150,"Campamento De Marines",39.6876,-0.7751
46160,"Lliria",39.6331348,-0.5937991
46162,"Pobleta De Andilla",39.8124375,-0.8371331
46163,"Marines",39.6748,-0.5624
46164,"Pedralba",39.6047655,-0.7266244
46165,"Bugarra",39.6082899,-0.7760605
46166,"Gestalgar",39.6041204,-0.8338994
46167,"Chulilla",39.6570846,-0.8924145
46168,"Losa Del Obispo",39.7,-0.8667
46169,"Gatova",39.6659748,-0.5341681
46170,"Villar Del Arzobispo",39.7359479,-0.8271565
46171,"Casinos",39.6993,-0.7077
46172,"Alcublas",39.7973649,-0.7026678
46173,"Benageber",39.7014665,-1.1212801
46174,"Domeño",39.6596,-0.6711
46175,"Calles",39.7256,-0.9732
46176,"Torrecilla",39.783,-0.9818
46177,"Tuejar",39.7667,-1.0333
46178,"La Canaleja",39.8696207,-1.0627637
46179,"Losilla De Aras",39.9236694,-1.1328098
46180,"Benaguasil",39.5968248,-0.5909739
46181,"Benisano",39.5664118,-0.5182313
46182,"Vallesa, La (Urbanizacion)",39.5294708,-0.4842748
46183,"Eliana, L'",39.5657056,-0.5301098
46184,"Cumbres De San Antonio (Betera) (Urbanizacion)",39.5700278,-0.5096085
46185,"Montecolorado (Urbanizacion)",39.5988155,-0.5365425
46190,"Riba-Roja De Turia",39.5455183,-0.5603175
46191,"Vilamarxant",39.556795,-0.6153143
46192,"Monserrat",39.3554257,-0.6028781
46193,"Montroy",39.3418357,-0.6134651
46194,"Real",39.3355169,-0.6092835
46195,"Llombai",39.2810131,-0.5715248
46196,"Catadau",39.273718,-0.5727262
46197,"Alfarp",39.2767145,-0.5603738
46198,"Millares",39.2472182,-0.7381096
46199,"Cortes De Pallas",39.3090148,-0.980025
46200,"Paiporta",39.4272991,-0.4170514
46210,"Picanya",39.4345065,-0.4317365
46220,"Picassent",39.3796916,-0.4825108
46225,"Centro Penitenciario Picassent",39.3583,-0.4583
46229,"Fuente Del Omet",39.3274311,-0.452208
46230,"San Patricio (Urbanizacion)",39.2658158,-0.4671144
46240,"Ausias March (Urbanizacion)",39.2284173,-0.507919
46249,"Villarrubia De Carlet",39.2333,-0.5167
46250,"Alcudia, L'",39.1960401,-0.5060965
46260,"Alberic",39.117,-0.5209
46266,"Antella",39.0805399,-0.5914095
46267,"Gavarda",39.0906,-0.5455
46268,"La Garrofera De Alzira",39.1048,-0.5616
46269,"Tous",39.1383446,-0.5866874
46270,"Villanueva De Castellon",39.0788065,-0.5131338
46290,"Alcasser",39.3786948,-0.4462785
46291,"Benimodo",39.2135155,-0.5261689
46292,"Massalaves",39.1406183,-0.5217637
46293,"Beneixida",39.0574667,-0.548808
46294,"Carcer",39.069922,-0.5676335
46295,"Sellent",39.0956379,-0.6301471
46300,"Utiel",39.5703718,-1.2045524
46310,"Los Marcos",39.4413979,-1.3214894
46311,"Jaraguas",39.5213,-1.3614
46312,"Casas De Medina",39.6255453,-1.1690339
46313,"Los Corrales",39.6045611,-1.2703921
46314,"Fuenterrobles",39.5856,-1.3643
46315,"Caudete De Las Fuentes",39.55886,-1.2791796
46317,"Villargordo Del Cabriel",39.5346963,-1.4377465
46320,"Sinarcas",39.7324183,-1.2227761
46321,"Torre, Aldea De La",39.6632895,-1.2582029
46330,"Camporrobles",39.6472,-1.4001
46339,"La Loberuela",39.6707,-1.3361
46340,"Requena",39.4883519,-1.1030302
46350,"Chera",39.5922,-0.9733
46351,"Las Nogueras",39.5816445,-1.0845028
46352,"Los Duques",39.4388507,-1.1889773
46353,"Los Ruices",39.4760839,-1.2532283
46354,"Los Isidros",39.4137686,-1.2950284
46355,"Casas De Juan Vich",39.3399402,-1.0809176
46356,"Casas Del Rio",39.3070541,-1.1329926
46357,"Hortunas",39.446062,-1.111682
46360,"Buñol",39.4227754,-0.7958536
46367,"Yatova",39.3833,-0.8
46368,"Macastre",39.3820026,-0.7852015
46369,"Alborache",39.3933,-0.7756
46370,"Chiva",39.4716908,-0.7105945
46380,"Cheste",39.4963051,-0.6815122
46388,"Godelleta",39.4237676,-0.6806503
46389,"Turis",39.3964492,-0.6425362
